datum,latogatoszam,atlaghomerseklet,csapadek,unnepnap,iskolai_szunet,marketing_kiadas,het_napja,honap,szezon,hetvege
2022-01-01,25286,0.6,0.0,1,1,558.0,6,1,1,1
2022-01-02,11210,2.6,0.0,0,1,547.0,7,1,1,1
2022-01-03,5058,-5.6,1.8,0,1,317.0,1,1,1,0
2022-01-04,9303,7.0,0.7,0,1,336.0,2,1,1,0
2022-01-05,5912,-8.8,0.0,0,1,297.0,3,1,1,0
2022-01-06,8842,10.2,0.0,0,1,262.0,4,1,1,0
2022-01-07,5974,3.0,0.4,0,1,269.0,5,1,1,0
2022-01-08,13500,3.0,0.0,0,1,466.0,6,1,1,1
2022-01-09,12345,11.9,0.3,0,1,470.0,7,1,1,1
2022-01-10,4489,-0.0,0.0,0,1,247.0,1,1,1,0
2022-01-11,6464,0.1,0.0,0,1,286.0,2,1,1,0
2022-01-12,8127,0.9,0.0,0,1,319.0,3,1,1,0
2022-01-13,4134,-5.4,0.0,0,1,246.0,4,1,1,0
2022-01-14,7146,5.4,0.0,0,1,352.0,5,1,1,0
2022-01-15,8690,-3.0,0.0,0,1,498.0,6,1,1,1
2022-01-16,14030,3.0,0.0,0,1,496.0,7,1,1,1
2022-01-17,5313,-4.9,0.0,0,1,288.0,1,1,1,0
2022-01-18,8629,6.1,0.0,0,1,243.0,2,1,1,0
2022-01-19,6617,0.9,0.0,0,1,305.0,3,1,1,0
2022-01-20,6731,2.9,0.0,0,1,328.0,4,1,1,0
2022-01-21,5097,-7.9,0.0,0,1,301.0,5,1,1,0
2022-01-22,12449,9.9,0.0,0,1,480.0,6,1,1,1
2022-01-23,11172,-5.3,0.0,0,1,561.0,7,1,1,1
2022-01-24,7632,9.1,0.0,0,1,345.0,1,1,1,0
2022-01-25,6693,-3.9,0.0,0,1,356.0,2,1,1,0
2022-01-26,5063,-0.4,0.0,0,1,359.0,3,1,1,0
2022-01-27,8345,1.5,0.0,0,1,312.0,4,1,1,0
2022-01-28,6038,-4.4,0.0,0,1,241.0,5,1,1,0
2022-01-29,13612,5.7,0.0,0,1,574.0,6,1,1,1
2022-01-30,14443,11.5,0.0,0,1,473.0,7,1,1,1
2022-01-31,8600,3.7,0.4,0,1,270.0,1,1,1,0
2022-02-01,5109,-3.7,0.2,0,0,277.0,2,2,1,0
2022-02-02,7551,2.3,0.8,0,0,289.0,3,2,1,0
